Start,End,Top_Tags
17/03/2019,24/03/2019,"[('auspol', 187), ('frankingcredits', 14), ('nswpol', 13), ('nswvotes', 12), ('nswvotes2019', 11)]"
24/03/2019,31/03/2019,"[('auspol', 232), ('warringahvotes', 10), ('wentworthvotes', 10), ('puthatelast', 9), ('ausvotes', 8)]"
31/03/2019,7/04/2019,"[('auspol', 297), ('budget2019', 248), ('qt', 62), ('greens', 34), ('buildingoureconomy', 24)]"
7/04/2019,14/04/2019,"[('auspol', 312), ('ausvotes', 44), ('wentworthvotes', 38), ('warringahvotes', 31), ('ausvotes2019', 19)]"
